,address,sqft,rooms,suites,bathrooms,parkings,price
0,1,230.0,3,3,5,3,758000.0
1,2,85.0,2,1,2,1,278000.0
2,3,136.0,3,1,3,1,318000.0
3,4,136.0,3,1,4,1,300000.0
4,5,310.0,3,1,4,2,830000.0
5,6,122.0,3,1,3,1,340000.0
6,7,252.0,4,1,4,2,270000.0
7,8,136.0,3,1,1,2,360000.0
8,9,130.0,3,1,4,2,280000.0
9,10,130.0,3,1,4,2,270000.0
10,11,186.0,3,0,2,1,380000.0
11,12,90.0,2,1,1,0,240000.0
12,13,82.0,2,1,3,1,238000.0
13,14,220.0,3,1,3,1,390000.0
14,15,125.0,3,1,4,1,300000.0
15,16,136.0,3,1,3,1,300000.0
16,17,117.0,2,2,4,1,380000.0
17,18,160.0,3,0,3,2,400000.0
18,19,96.0,3,0,3,1,170000.0
19,20,71.0,2,1,2,3,244092.0
20,21,70.0,2,2,3,1,240000.0
21,22,70.0,2,2,3,2,160000.0
22,23,200.0,3,1,4,2,540000.0
23,24,420.0,3,1,5,4,2400000.0
24,25,110.0,3,2,2,1,270000.0
25,26,100.0,3,1,3,1,196000.0
26,27,222.0,4,2,1,2,560000.0
27,28,258.0,4,1,4,2,320000.0
28,29,142.0,3,1,3,2,340000.0
29,30,125.0,3,1,4,1,314000.0
30,31,173.0,3,0,3,1,390000.0
31,32,228.0,3,1,1,1,438000.0
32,33,162.0,2,2,3,2,320000.0
33,34,124.0,3,1,3,2,276000.0
34,35,129.0,3,0,3,1,240000.0
35,36,195.0,2,2,2,2,1032200.0
36,37,29.0,1,1,1,1,80000.0
37,38,365.0,4,2,6,2,1330000.0
38,39,183.0,3,1,4,3,500000.0
39,40,80.0,1,1,2,1,198000.0
40,41,70.0,2,1,2,1,205400.0
41,42,173.0,3,1,3,2,350000.0
42,43,140.0,3,1,3,1,277200.0
43,44,274.0,3,1,5,2,880000.0
44,45,240.0,4,3,4,4,480000.0
45,46,151.0,3,1,3,3,520000.0
46,47,230.0,4,4,6,4,940000.0
47,48,135.0,2,1,3,2,340000.0
48,49,76.0,2,0,2,1,140000.0
