address,zipcode,beds,dog,cat,dishwasher,ac,laundry,parking,gym,price
1500 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2100
2631 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1390
2024 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000
512 El Cerrito Plz| El Cerrito| CA 94530,94530,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2330
2038 Parker St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2201
1300 Delaware St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3200
2121 Dwight Way| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2138
2010 5th St| Berkeley| CA 94710,94710,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2540
2055 Center St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2573
1801 Shattuck Ave| Berkeley| CA 94709,94709,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2303
1950 Addison St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2305
5110 Telegraph Ave| Oakland| CA 94609,94609,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2186
5239 Claremont Ave| Oakland| CA 94619,94619,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2390
6301 Shellmound St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2370
2315 College Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,979
3015 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2768
2398 Bancroft Way| Berkeley| CA 94704,94704,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1200
1122 University Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2545
1260-1290 Hopkins St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2195
1333 Powell St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2144
6401 Shellmound St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1792
2119 University Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2340
2539 Telegraph Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2600
2461 Warring St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2500
1500 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2100
2631 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1390
2024 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000
512 El Cerrito Plz| El Cerrito| CA 94530,94530,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2330
2038 Parker St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2201
1300 Delaware St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3200
2121 Dwight Way| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2138
2010 5th St| Berkeley| CA 94710,94710,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2540
2055 Center St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2573
1801 Shattuck Ave| Berkeley| CA 94709,94709,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2303
1950 Addison St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2305
5110 Telegraph Ave| Oakland| CA 94609,94609,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2186
